Name;Technique; req;Form;req;Level;Ritual;Special Requirements;Book;Page
Reveal the Magical Deception;In;;Vi;;25;;;GotF;21
Divine Heaven's Aspect;In;;Vi;;30;;;TMRE;51
Flesh Crawls at the Intangible Touch;In;;Vi;;30;;;Projects;83
Impression of the Faded Sigil;In;;Vi;;30;;;HoH:TL;75
Odor of the Lingering Magic;In;;Vi;;30;;;HoH:TL;75
Reveal the Lurking Watchers;In;;Vi;;30;;;HoH:S;99
See the Light of Magic;In;;Vi;;30;;;Projects;83
Sense of the Lingering Magic;In;;Vi;;30;;;ArM5;158
Sulfurous Whispers;In;;Vi;;30;;;RoP:TI;121
Sight of the Active Magics;In;;Vi;;40;;;ArM5;159
Sight of the Lazy Parens;In;;Vi;;40;;;Apprenties;33
Eyes for the Lurking Assassin;In;;Vi;;45;;;Projects;83
Sight of the Sigil;In;;Vi;;50;;;HoH:TL;75
Invisible Eye Revealed, The;In;;Vi;;Gen;;;ArM5;157
Music of the Unwanted Attention;In;;Me;;25;;;MoH;92
Funding the Blackmailer's Purse;In;;Me;;30;;;MoH;92
Appropriate Attire, The;Mu;;An;;4;;;Apprenties;45
Chameleon Cat, The;Mu;;An;;5;;;Apprenties;45
Beast of Outlandish Size;Mu;;An;;15;;;ArM5;118
Doublet of Impenetrable Silk;Mu;;An;;15;;;ArM5;118
Doublet of Silk that's Impenetrable;Mu;;An;;15;;;MoH;28
Gift of Man's Fortitude;Mu;;An;;15;;;BCoC;61
Growth of the Creeping Things;Mu;;An;;15;;;ArM5;118
Plunder of Twenty Geese, The;Mu;;An;;15;;;Covs;96
Transform the Tailor's Craft;Mu;;An;;15;;;MoH;91
Voice of the Bjornaer Magus, The;Mu;;An;;15;;;HoH:MC;36
Beast of Miniscule Proportions;Mu;;An;;20;;;ArM5;119
Fatal Register;Mu;Re,In;An;;20;;;Covs;100
Form of the (Temperament) Heartbeast;Mu;;An;;20;;;HoH:MC;36
Madder, Woad, and Weld;Mu;;An;He;20;;;MoH;56
Plunder of Twenty Geese, The;Mu;Re;An;;20;;;Covs;96
Touch of the Wild;Mu;;An;;20;;;MoH;82
Beast Remade, The;Mu;;An;Co;25;;;ArM5;119
Transformation of the Ravenous Beast to the Torpid Toad;Mu;;An;;25;;;ArM5;119
Pests of a Colossal Size;Mu;;An;;30;;;MoH;28
Cloak of Nessus;Mu;;An;;35;;;MoH;56
Griffin Reborn, The;Mu;;An;;35;;;MoH;83
Steed of Vengeance;Mu;;An;;35;;;ArM5;119
Transformed Folio, The;Mu;;An;;35;Ritual;Mutantum;HoH:TL;102
Icarus's Folly;Mu;;An;;40;;;MoH;83
Scales of the Scorpions;Mu;;An;;40;;;MoH;12
Steed of Vesuvius;Mu;;An;Ig;45;;;Projects;15
An  Evening's Illumination;Mu;;Aq;;5;;;Apprenties;46
Mimic The Christ's Miracle;Mu;;Aq;;5;;;Apprenties;47
Reveal the Hidden Words;Mu;;Aq;;5;;;HoH:S;98
Incantation of Putrid Wine;Mu;;Aq;;15;;;ArM5;122
Bag of Teeth;Mu;;Aq;An;20;;;MoH;12
Lungs of the Fish;Mu;;Aq;Au;20;;;ArM5;122
Sculpt the Living Water;Mu;;Aq;;20;;;GotF;96
Neptune's Imprisoning Arms;Mu;;Aq;;25;;;GotF;96
Strange Tricks Using Canal Contents;Mu;;Aq;;25;Ritual;;Trans. ME;77
Vile Water of Sterility;Mu;;Aq;;45;Ritual;;ArM5;122
Appease the Queen of Winter;Mu;;Aq;;60;Ritual;;GotF;96
Sufurous Membrane;Mu;;Au;Co;10;;;Projects;84
Rain of Stones;Mu;;Au;Te;20;;;ArM5;127
Talons of the Winds;Mu;Re;Au;;20;;;ArM5;127
Curse of the Evil Humors;Mu;;Au;;25;;;HoH:S;36
Rainbow Bridge;Mu;;Au;;30;;;MoH;122
Conjure from Mist;Mu;;Au;Te;40;;;MoH;28
Infernal Smoke of Death;Mu;;Au;;40;;;ArM5;127
Fog of Confusion;Mu;Re;Au;Im;45;Ritual;;ArM5;128
Rain of Oil;Mu;;Au;Aq;50;Ritual;;ArM5;128
Ears of the Hare;Mu;;Co;;4;;;Apprenties;46
Eyes of the Hawk;Mu;;Co;An;4;;;Projects;87
Track by Scent;Mu;;Co;An;4;;;MoH;131
Bushy Tail of the Branch-Dancer;Mu;;Co;An;5;;;MoH;84
Eyes of the Cat;Mu;;Co;An;5;;;ArM5;131
Slime of the Muck-Dweller;Mu;;Co;An;5;;;MoH;84
Slipperyness of the Eel;Mu;;Co;An;5;;;SemE;35
Stickyness of the Lizard's Toes;Mu;;Co;An;5;;;SemE;35
Succubus's Trick, The;Mu;;Co;;5;;;HoH:S;97
Sure-Footedness of the Crag-Leaper;Mu;;Co;An;5;;;MoH;84
Webbed Toes of the Pond-Dweller;Mu;;Co;An;5;;;MoH;84
Assume the Stature of the Giants of Eld;Mu;;Co;;10;;;MoH;49
Avalanche of Flesh and Steel;Mu;;Co;;10;;;MoH;49
Blood of My Enemy;Mu;;Co;;10;;;Projects;90
Disguise of the New Visage;Mu;;Co;;15;;;ArM5;131
Ease the Suffering of Childbirth;Mu;;Co;;15;;;MoH;22
Eyes from the Wizard Torn;Mu;In, Re;Co;Im;15;;;MoH;84
Preternatural Growth and Shrinking;Mu;;Co;;15;;;ArM5;131
Arm of the Infant;Mu;;Co;;20;;;ArM5;131
Eyes of the Housecats;Mu;;Co;An;20;;;MoH;12
Face of Molded Clay;Mu;Pe;Co;;20;;;Projects;86
Guardian of the Tombs, The;Mu;;Co;An;20;;;MoH;13
High Tree or Small Boulder;Mu;;Co;;20;;;MoH;122
Shape of the Leafy Herbavore;Mu;;Co;An;20;;;ToME;12
Spirit of the Bull of Minos;Mu;;Co;An;20;Ritual;;MoH;83
Twisted Tounge, The;Mu;Pe;Co;;20;;;L&tL;84
Blessing of Starkad, The;Mu;;Co;;25;;;MoH;49
Desert Wanderer, The;Mu;;Co;An;25;;;MoH;13
Gift of the Bear's Fortitude;Mu;;Co;;25;;;ArM5;131
Shape of the Woodland Prowler;Mu;;Co;An;25;;;ArM5;131
Turb of Giants;Mu;;Co;;25;;;MoH;49
Chariot of Zeus;Mu;;Co;Au;30;;;Trans. ME;112
Cloak of Black Feathers;Mu;;Co;An;30;;;ArM5;131
Coat of the Slippery Warrior;Mu;;Co;An;30;;;ToME;12
Curse of Circe;Mu;;Co;An;30;;;ArM5;131
Gift of the Minotaur;Mu;;Co;An;30;;;MoH;84
"Put on the Whole Armor of  God , That You may be Able to  
Stand Against the Schemes of the Devil";Mu;;Co;;30;;Holy Magic, Trancendence/Purity;Cont. Isle;67
Shadow on the Sand, The;Mu;;Co;An;30;;;MoH;13
Frozen Womb, The;Mu;;Co;;35;Ritual;Fertility Magic;AncMag;56
Retreat As Flying Vermin;Mu;;Co;An;35;;;MoH;13
Stance of the Patient Tree;Mu;;Co;He;35;;;ArM5;131
A Punishment for Brigands;Mu;;Co;An;40;;;MoH;13
Cloak of Mist;Mu;;Co;Au;40;;;ArM5;131
Form of the Zephyr;Mu;;Co;Au;40;;;Trans. ME;113
Lurker in the Rushes, The;Mu;;Co;An;40;;;MoH;13
Shape of the Ancient Kite;Mu;;Co;An;40;;Mutantum;HoH:TL;102
Transform to Water;Mu;;Co;Aq;40;;;ArM5;131
A Source of Tremendous Pride;Mu;;Co;An;45;;;MoH;13
Silent Vigil, The;Mu;;Co;Te;45;;;ArM5;132
"Spell for the Defense of the Realm Against Expected  
Invasions, A";Mu;;Co;;50;Ritual;;Trans. ME;78
Mists of Change;Mu;;Co;An;60;Ritual;;ArM5;132
Dragon's Blood;Mu;Re;Co;Ig Te;70;Ritual;;Projects;15
Covenant of the Dragon;Mu;Re;Co;Ig Te;85;Ritual;;Projects;15
Pass the Unyielding Portal;Mu;;He;;5;;;ArM5;137
Piercing Shaft of Wood;Mu;Re;He;;10;;;ArM5;137
Transformation of the Thorny Staff;Mu;;He;;10;;;ArM5;137
Aegis of Unbreakable Wood;Mu;;He;;15;;;HoH:S;36
Rope of Bronze;Mu;;He;Te;15;;;ArM5;137
Prune Plant;Mu;;He;Me;20;;;MoH;39
Thaumaturgical Transformation of Plants to Iron;Mu;;He;Te;20;;;ArM5;137
Gigantic Growth;Mu;;He;;25;;;MoH;39
How God Created Them;Mu;;He;An;25;;;MoH;124
Razor Thorns;Mu;;He;Te;25;;;MoH;39
Stir the Slumbering Tree;Mu;;He;Me;25;;;ArM5;137
Blades of Grass Leaves of Cutting;Mu;;He;;30;;;MoH;39
Pocketful of Soldiers, A;Mu;;He;;30;;Animae magic;ToP;122
Bag of Feathers;Mu;;He;An;35;;;MoH;13
Locked Storehouse;Mu;;He;Te;45;Ritual;Faerie Magic;MoH;65
Awaken Consciousness of Plant;Mu;;He;Me;55;Ritual;;MoH;39
Curse of the Haunted Forest;Mu;Pe;He;;60;Ritual;;ArM5;137
Many-Hued Conflagration, The;Mu;;Ig;;5;;;ArM5;141
Smokeless Campfire, The;Mu;;Ig;;5;;;Apprenties;47
Enduring Flame;Mu;;Ig;;10;;;MoH;111
Hornet Fire;Mu;Re;Ig;;10;;;ArM5;141
Show of the Flames and Smoke;Mu;;Ig;;10;;;ArM5;141
Boreal Flames;Mu;Pe;Ig;;15;;;MoH;111
Prison of Flames;Mu;;Ig;;20;;;ArM5;142
Let the Fire Sing You to Sleep;Mu;;Ig;Im;25;;;MoH;139
Touch of the Realm Bound Reveler;Mu;;Ig;;25;;Magic Realm Magic;RoP:M;27
Trapping the Fire;Mu;;Ig;Te;25;;;ArM5;142
Conflagratious Lanyard;Mu;;Ig;An;30;;;MoH;13
Sublimation of Flame;Mu;;Ig;Au;30;;;Projects;26
Summer's Blessing;Mu;;Ig;Te;30;;;MoH;124
Flames of Sculpted Ice;Mu;;Ig;Aq;35;;;ArM5;142
A Pesttilence of Fleas;Mu;;Im;;4;;;Apprenties;47
Clandestine Mask, The;Mu;;Im;;4;;;HoH:S;98
Faerie Flute;Mu;;Im;;4;;;MoH;125
A Visible demand for Repair;Mu;;Im;;5;;;HoH:S;65
Confound the Rival Singer;Mu;;Im;;5;;;MoH;140
False Dune, The;Mu;;Im;;5;;;MoH;14
Taste of the Spices and Herbs;Mu;;Im;;5;;;ArM5;145
Voice of the Leucrotta;Mu;;Im;;5;;;MoH;91
Aura of Beguiling Appearance;Mu;;Im;;10;;;HoH:S;96
Aura of Childlike Innocence;Mu;;Im;;10;;;HoH:S;96
Aura of Childlike Innocence;Mu;;Im;;10;;;MoH;91
Aura of Ennobled Presence;Mu;;Im;;10;;;ArM5;145
Comeliness of the Crone;Mu;;Im;;10;;;MoH;22
Notes of a Delightful Sound;Mu;;Im;;10;;;ArM5;145
Aura of the Simple Bard;Mu;;Im;;15;;;MoH;125
Disguise of the Transformed Image;Mu;;Im;;15;;;ArM5;146
Living Fire;Mu;;Im;;15;;Faerie Magic;MoH;125
Petrine Deception, The;Mu;;Im;;15;;;MoH;14
Sight of the Warm Surface;Mu;;Im;;15;;;HoH:S;65
Ball of Abysmal Music;Mu;;Im;Vi;20;;Glamour Magic;HoH:MC;101
Glowing Footprints of the Thief;Mu;;Im;;20;;;HoH:S;65
Image Phantom;Mu;;Im;;20;;;ArM5;146
Safe Haven;Mu;;Im;;20;;;MoH;125
Ogre's Stench;Mu;;Im;;30;;;MoH;125
Blessing the Merchant's Lineage;Mu;;Im;;35;Ritual;Faerie Magic;MoH;125
Servant of Fire;Mu;;Im;Ig, Me;35;;Faerie Magic;MoH;125
Recollection of Memories Never Quite Lived;Mu;;Me;;4;;;ArM5;149
Recollection of Memorites Never Quite Lived;Mu;;Me;;4;;Hermetic Numerology;MoH;102
Absent Mind of the Scholar;Mu;;Me;;10;;;Projects;94
Distraction of the Magpie;Mu;;Me;;10;;;A&A;33
Avoiding the Blame;Mu;;Me;;15;;;MoH;12
Clarion Call of the War Horse;Mu;;Me;;15;;Sensory Magic;HoH:MC;29
Enchantment of the Pedestrian Pigeon;Mu;;Me;;15;;;HoH:S;98
Generous Patron, the;Mu;;Me;;15;;;MoH;126
Lost in the Memory;Mu;;Me;;15;;;A&A;33
Seed of Betrayal;Mu;;Me;;15;;;GotF;73
Lucid Dreamer, The;Mu;In;Me;;20;;Dream Magic;TMRE;104
My Old and Dear Friend;Mu;;Me;;20;;;MoH;92
Remembered Messages;Mu;;Me;;20;Ritual;;Trans. ME;74
Unbidden Task, The;Mu;;Me;;25;;;HoH:S;70
Apollo's Fearful Gaze;Mu;;Me;;30;;;MoH;30
Blissful Messenger;Mu;;Me;;30;Ritual;Faerie Magic;MoH;65
False Prophecy;Mu;;Me;;30;;;HoH:TL;140
Mind of the Beast;Mu;;Me;An;30;;;ArM5;149
Path to Lemnos, The;Mu;In;Me;;30;;Dream Magic;TMRE;104
Donning the Mask of Another;Mu;;Me;;35;Ritual;;HoH:S;97
Past of Another;Mu;;Me;;35;Ritual;;ArM5;149
Visions of Olympus;Mu;;Me;;35;;Magic Realm Magic;RoP:M;27
Family Gathering;Mu;In;Me;;40;;Faerie Magic;MoH;67
Inmost Companion;Mu;;Me;An;40;;;ArM5;149
Road to Lemnos, The;Mu;In;Me;;40;;Dream Magic;TMRE;104
Swords of Silver and Moonlight;Mu;;Me;Te;40;;;HoH:TL;140
Vision of the Haunting Spirits;Mu;;Me;Im;40;;;ArM5;150
Spectral Quinreme;Mu;;Me;He;50;;;HoH:TL;140
Nordic Triumph;Mu;;Me;He, Te;65;Ritual;;L&tL;122
Arming the Legion of the Dead;Mu;;Me;Te;70;Ritual;;HoH:TL;140
A Window of Singular Direction;Mu;;Te;;10;;;HoH:TL;141
Blunting the Iron's Bite;Mu;;Te;;10;;;MoH;50
Crystal Dart, The;Mu;Re;Te;;10;;;ArM5;154
Supple Iron and Rigid Rope;Mu;;Te;;10;;;ArM5;154
Conjure the Ocean's Breath;Mu;;Te;;15;;;MoH;31
Hiding the Mystic Key;Mu;;Te;He;15;;;TMRE;116
Object of Increased Size;Mu;;Te;;15;;;ArM5;154
Rock of Viscid Clay;Mu;;Te;;15;;;ArM5;154
Solidity of Stone;Mu;;Te;;15;;;Projects;19
Armatura Vitrea;Mu;;Te;;20;;;MoH;31
Earth that Breaks No More;Mu;;Te;;20;;;ArM5;154
Edge of the Razor;Mu;;Te;;20;;;ArM5;154
Ink of Noblest Metals;Mu;;Te;Aq;20;;;Covs;97
Weightless Menhir, The;Mu;;Te;;20;;;ToME;12
Hardness of Adamantine;Mu;;Te;;25;;;HoH:S;37
Short Stepof the Ghost;Mu;;Te;Au;25;;;MoH;93
Rapid Excavations;Mu;;Te;Aq;30;;;MoH;14
Scattering Like Light;Mu;;Te;Im;30;;;HoH:S;63
Teeth of the Earth Mother;Mu;;Te;;35;;;ArM5;154
Transmutation of Fire;Mu;;Te;He, Ig;40;;;MoH;113
Miniturist of Venice;Mu;;Te;;50;;;Projects;89
Clear Breath of the Consumate Liar;Mu;;Vi;Me;20;;;GotF;73
Early Punishment For the Sinful Witch;Mu;;Vi;Ig;Gen;;;RoP:TI;122
Facilitate the Stifled (Form) Spell;Mu;;Vi;;Gen;;;HoH:MC;36
Group Wizard's Boost (Form);Mu;;Vi;;Gen;;;MoH;113
Harnessing the Essential Power (Form);Mu;;Vi;;Gen;;Grigori Magic;AncMag;67
Hedge Lord's Synthemata of (X), The;Mu;;Vi;;Gen;;Synthemata Magia;TMRE;88
Lasting Synthemata of (X), The;Mu;;Vi;;Gen;;Hermetic Synthemata;TMRE;86
Mirror of Opposition (Form);Mu;;Vi;;Gen;;;ArM5;159
Name of Power (X);Mu;;Vi;;Gen;;Names of Power;TMRE;76
Passing the Reins of Corpus;Mu;;Vi;;Gen;;;Projects;97
Shroud Magic;Mu;;Vi;;Gen;;;ArM5;159
Sorcerer's Fork, The;Mu;;Vi;;Gen;;;ArM5;159
Synthemata of (X);Mu;;Vi;;Gen;;Hermetic Synthemata;TMRE;86
Wicked Jar, The;Mu;;Vi;;Gen;;;RoP:TI;122
Wizard's Boost (Form);Mu;;Vi;;Gen;;;ArM5;160
Wizard's Communion;Mu;;Vi;;Gen;;;ArM5;160
Wizard's Reach (Form);Mu;;Vi;;Gen;;;ArM5;160
Wizard's Expansion (Form);Mu;;Vi;;Gen;;;MoH;113
Creating an Empty Book From a Filled One;Pe;;An;;3;;;Covs;97
Curse of Diana, The;Pe;;An;;4;;;Apprenties;45
Racing Rot, The;Pe;;An;;4;;;Apprenties;47
Unraveled Seam, The;Pe;;An;He;5;;;MoH;56
Decay Fur and Hide;Pe;;An;;10;;;ArM5;119
Tire the Bounding Stag;Pe;;An;;10;;;ToME;13
Unmake This Cloth;Pe;;An;He;10;;;MoH;99
Agony of the Beast;Pe;;An;;15;;;ArM5;119
Unraveled Clothes, The;Pe;;An;He;15;;;MoH;56
Blunt the Viper's Fangs;Pe;;An;;20;;;ArM5;119
Revenge of the Bitten Toad;Pe;;An;;20;;Sensory Magic;HoH:MC;29
Tire the Strident Destrier;Pe;;An;;20;;;ToME;13
Cripple the Howling Wolf;Pe;;An;;25;;;ArM5;120
Falcon's Hood, The;Pe;;An;;25;;;ArM5;119
Weightless Transportation of Books, The;Pe;;An;;25;;;Covs;100
Hunter's Lethal Arrow;Pe;;An;;40;;Mutantum;HoH:TL;102
Swift Knives, Invisible;Pe;Re;An;;40;;;Covs;96
Laundress' Clothsline, The;Pe;;Aq;;4;;;Apprenties;47
Comfort of the Drenched Traveler;Pe;;Aq;;5;;;ArM5;123
Patch of Drought;Pe;;Aq;;10;;;MoH;65
Parching Wind;Pe;;Aq;;20;;;ArM5;123
Closing the Earth's Gate;Pe;;Aq;;25;;;ArM5;123
Curse of the Desert;Pe;;Aq;;25;;;ArM5;123
Calling the Odious Drought;Pe;;Aq;Au;50;Ritual;;ArM5;123
Room of Stale Air;Pe;;Au;;15;;;ArM5;128
Be Rid of the Tell Tale Smoke;Pe;;Au;;20;;;MoH;28
Quiet the Raging Winds;Pe;;Au;;20;;;ArM5;128
Cloudless Sky Returned, The;Pe;;Au;;45;;;ArM5;128
Cleric's Pate, The;Pe;;Co;;5;;;Apprenties;45
Touch of the Goose Feather;Pe;;Co;;5;;;ArM5;132
Black Anne's Kiss;Pe;;Co;;10;;Fertility Magic;AncMag;56
Chastise the Unrulty Anagonist;Pe;;Co;;10;;;MoH;131
Claw o the Gladiator;Pe;;Co;;10;;;Projects;85
Close the Black Gate;Pe;;Co;;10;;;Projects;85
When Fortuna Blinks;Pe;;Co;;10;;Magic Realm Magic;RoP:M;28
Dust to Dust;Pe;;Co;;15;;;ArM5;132
Wound that Weeps, The;Pe;;Co;;15;;;ArM5;133
Blind the Insurgent Pack;Pe;;Co;;20;;;MoH;132
Fist of Crippling;Pe;;Co;;20;;;Projects;86
Inner Darkness Unleashed;Pe;;Co;;20;;;MoH;132
Invocation of Weariness;Pe;;Co;;20;;;ArM5;133
Kiss of Ageing;Pe;;Co;;20;;;Projects;86
Bane of the Decrepit Body;Pe;;Co;;25;;;ArM5;133
Curse of the Leprous Flesh;Pe;;Co;;25;;;ArM5;133
Grip of the Choking Hand;Pe;;Co;;25;;;ArM5;133
Invocation of the Giant's Weariness;Pe;;Co;;25;;;ToME;13
Trap for the Thief in the Night;Pe;In;Co;;25;Ritual;Defixio Magic;AncMag;45
Wound that Wails, The;Pe;;Co;;25;;;ToME;13
Circle of Lethargy;Pe;;Co;;30;;energy magic;HMRE;52
Evisceration of a Thousand Knives;Pe;;Co;;30;;;GotF;60
Incantation of the Milky Eyes;Pe;;Co;;30;;;ArM5;133
Slay the Innoccent;Pe;;Co;An;30;;;SemE;37
Twist of the Tongue;Pe;;Co;;30;;;ArM5;133
Repose of the Eternal Moment;Pe;;Co;;35;Ritual;Magic Realm Magic;RoP:M;28
Clenching Grasp of the Crushed Heart;Pe;;Co;;40;;;ArM5;133
Kiss of Death, The;Pe;;Co;;45;;;ArM5;133
Curse of the Unportended Plague;Pe;;Co;;55;Ritual;;ArM5;133
Cook's Revenge, The;Pe;;He;An;5;;;Apprenties;45
Curse of the Rotted Wood;Pe;;He;;5;;;ArM5;137
Curse of the Blasted Heath;Pe;;He;;15;;;Projects;86
Tree Falling in the Forest;Pe;Re;He;;15;;;HoH:S;36
Wizard's Autumn;Pe;;He;;15;;;ArM5;137
A Spell to Kill Weeds;Pe;;He;;20;;;Covs;51
Plant's Withering Bane;Pe;;He;;20;;;ArM5;137
Great Rot, The;Pe;;He;;25;;;ArM5;138
Treading the Ashen Path;Pe;;He;;30;;;ArM5;138
Wilt;Pe;;He;;35;;;MoH;39
Wizard's Chevauchee, the;Pe;;He;;50;;;Trans. ME;45
A Time For Slumber;Pe;;Ig;;5;;;MoH;14
Chill Touch of Exposure;Pe;;Ig;;5;;;Projects;84
Closing  the Campfire;Pe;;Ig;;5;;;Apprenties;46
Gloom of Evening;Pe;;Ig;;10;;;ArM5;142
Let the Sun Not Bother Me This Day;Pe;;Ig;;10;;;MoH;140
Winter's Icy Touch;Pe;;Ig;;10;;;ArM5;142
A Place of Recuperation;Pe;;Ig;;15;;;MoH;14
Banishment of Warmth;Pe;;Ig;;15;;;MoH;132
Extinguish the Abhorent Flame;Pe;;Ig;;15;;;MoH;132
Cloak of Darkness;Pe;;Ig;;20;;;MoH;133
Frosted Timber;Pe;;Ig;;20;;;MoH;40
Orb of Darkness;Pe;;Ig;;20;;;MoH;133
Quench the Raging Conflagration;Pe;;Ig;;20;;;HoH:S;37
Soothe the Raging Flames;Pe;;Ig;;20;;;ArM5;142
Abyssal touch;Pe;;Ig;;25;;;MoH;133
Conjuration of the Indubitable Cold;Pe;;Ig;;25;;;ArM5;142
Well Without Light;Pe;;Ig;;25;;;ArM5;142
Wizard's Icy Grip;Pe;;Ig;;30;;;ArM5;142
Wizard's Eclipse;Pe;;Ig;;35;Ritual;;ArM5;142
Domain of Darkness;Pe;;Ig;;45;;;MoH;133
Taste of the Dulled Tongue;Pe;;Im;;5;;;ArM5;146
Hiding in the Crowd;Pe;;Im;;10;;;HoH:S;64
Illusion of Cool Flames;Pe;;Im;;10;;;ArM5;146
Snatched Voice;Pe;;Im;;10;;;Projects;85
Chamber of Muffled Passing;Pe;;Im;;15;;;MoH;133
Invisibility of the Standing Wizard;Pe;;Im;;15;;;ArM5;146
Ambush on the Deserted Road;Pe;;Im;;20;;;HoH:S;64
Ears of a Grateful Father;Pe;;Im;;20;;;MoH;22
Removal of the Conspicuous Sigil;Pe;;Im;;20;;;ArM5;146
Silence of the Smothered Sound;Pe;;Im;;20;;;ArM5;146
Veil of Invisibility;Pe;;Im;;20;;;ArM5;146
Chamber of Invisibility;Pe;;Im;;25;;;ArM5;146
Hiding the Ill Bred Bard;Pe;;Im;;25;;Listed in book as lvl 15;MoH;125
Invisible Arms;Pe;Cr;Im;;25;;;MoH;125
Lost City, The;Pe;;Im;;45;Ritual;;Trans. ME;74
Dispel the Phantom Image;Pe;;Im;;Gen;;;ArM5;146
Blinded Sentry, The;Pe;;Me;;5;;;GotF;73
Distraction of the Weakened Mind;Pe;;Me;;5;;;ToP;117
I Was Never Here;Pe;;Me;;5;;;MoH;93
Tip of the Tongue;Pe;;Me;;5;;;ArM5;150
Breaking the Captains' Baton;Pe;;Me;;10;;;MoH;50
Slap of Absent Magic;Pe;;Me;;10;;;Projects;85
Trust of Childlike Faith;Pe;;Me;;10;;;ArM5;150
Calm the Motion of the Heart;Pe;;Me;;15;;;ArM5;150
Enchantment of Detachment;Pe;;Me;;15;;;ArM5;150
Loss of But a Moment's Memory;Pe;;Me;;15;;;ArM5;151
Twice Gifted Coin, The;Pe;;Me;;15;;;Covs;62
All Vows Forgotten;Pe;;Me;;20;;;ToP;116
Calm Mind of Resolute Behavior;Pe;;Me;;20;;;MoH;67
Dissolving the Wall of Shields;Pe;;Me;;20;;;HoH:S;70
Blessing of Childlike Bliss;Pe;;Me;;25;;;ArM5;151
Passion's Lost Feeling;Pe;;Me;;25;;;ArM5;151
Stultified Peasant, The;Pe;;Me;;30;;;A&A;33
Embrace of Boethius;Pe;;Me;Co,Vi;35;Ritual;;HoH:MC;119
Ever Watchful Turb, The;Pe;;Me;;35;;;A&A;34
Stolen Moments;Pe;;Me;;35;;;MoH;126
Black Whisper;Pe;;Me;;40;;;ArM5;151
Blindness of Involuntary Obstinacy;Pe;;Me;;40;;;MoH;67
Closed Mouth of the Nightwalker;Pe;;Me;;40;;Sensory Magic;HoH:MC;29
Mind Cleansed of Treachery;Pe;;Me;;45;;Faerie Magic;MoH;67
Clean Slate, The;Pe;;Me;;50;;;A&A;34
Poisoning the Will;Pe;;Me;;60;Ritual;;ArM5;151
Lay to Rest the Haunting Spirit;Pe;;Me;;Gen;;;ArM5;150
Shattering Touch;Pe;;Te;;5;;;Apprenties;47
Fist of Shattering;Pe;;Te;;10;;;ArM5;155
Rusted Decay of Ten-Score Years;Pe;;Te;;10;;;ArM5;155
Saving the Apprentice's Time;Pe;;Te;;10;;;MoH;31
Pit of the Gaping Earth;Pe;;Te;;15;;;ArM5;155
Undoing the Stonemason's Handiwork;Pe;;Te;;15;;;HoH:S;37
Carve Domain;Pe;;Te;;20;;;MoH;31
Obliteration of the Metallic Barrier;Pe;Re;Te;;20;;;ArM5;155
Obliteration of the Traveler's Barrier;Pe;;Te;He;20;;Faerie Magic;SemE;37
Stone to Falling Dust;Pe;;Te;;20;;;ArM5;155
End of the Mighty Castle;Pe;;Te;;25;;;ArM5;155
Flaws of the Weaponsmith;Pe;;Te;;25;;;GotF;60
Gleam of the Freshly Polished Glass;Pe;;Te;;25;;;Covs;122
Mightier Channel, A;Pe;;Te;;25;;;Projects;57
Hauberk of Sublime Lightness;Pe;;Te;;30;;;HoH:S;38
Sudden Well;Pe;;Te;;30;;;AtD;31
Cascade of Rocks;Pe;;Te;;40;;;ArM5;155
Fate of Carthage, The;Pe;;Te;;45;Ritual;;ToP;126
Nails of Iron;Pe;;Vi;;5;;;Projects;84
Break the Shield;Pe;;Vi;;10;;;Projects;85
Chastise the Unruly Fiend;Pe;;Vi;;10;;;MoH;133
Lash of the Chastened Servant;Pe;;Vi;;15;;;RoP:TI;122
Belittle the Ferocious Warlock;Pe;;Vi;;20;;;MoH;134
Paralysis of the Gift;Pe;;Vi;;20;;;Projects;86
Bind the Devil's Hands;Pe;;Vi;;Gen;;;RoP:TI;122
Circle of Clarity;Pe;;Vi;;Gen;;;HoH:TL;75
Cutting the Cords;Pe;;Vi;;Gen;Ritual;;HoH:TL;75
Demon's Eternal Oblivion;Pe;;Vi;;Gen;;;ArM5;160
Disenchant;Pe;;Vi;;Gen;Ritual;;ArM5;160
Dreadful Bane of the Fae;Pe;;Vi;;Gen;;;"GotF/ToME/ 
ToP";60/14/123
Exorcise the Filthy Spirit;Pe;;Vi;;Gen;;;RoP:TI;122
Fumigant of Minor Demons;Pe;;Vi;;Gen;Ritual;;Trans. ME;74
Heathen  Witch Reborn, The;Pe;;Vi;;Gen;;;HoH:S;129
Heathen Witch Reborn, The;Pe;;Vi;;Gen;;;GotF;60
Impede the Impertinent Interloper;Pe;;Vi;;Gen;;;Trans. ME;109
Masking the Odor of Magic;Pe;;Vi;;Gen;;;ArM5;160
Removing the Hearth's Keystone;Pe;;Vi;;Gen;;;Projects;94
Revoke the Protection of (Form);Pe;;Vi;;Gen;;;Cont. Isle;62
Revoke the Protection of (Realm);Pe;;Vi;;Gen;;;Cont. Isle;62
Revoke the Protection of Bonisagus;Pe;;Vi;;Gen;;;Cont. Isle;62
Rooster's Crow, The;Pe;;Vi;;Gen;;Sensory Magic;HoH:MC;29
Sap the Griffin's Strength/ Dragon's Eternal Oblivion;Pe;;Vi;;Gen;;;GotF/ToME;60/14
Shattering the Malicious Rune;Pe;;Vi;;Gen;;;GotF;60
